className,bug,mutationsTotal,mutationsKilled,mutationsSurvived
org.aspectj.ajdt.internal.compiler.ast.PointcutDeclaration,2,110,26,15
org.aspectj.bridge.MessageWriter,0,13,8,5
org.aspectj.runtime.reflect.JoinPointImpl,2,164,5,5
org.aspectj.org.eclipse.jdt.core.dom.AfterReturningAdviceDeclaration,2,43,2,6
org.aspectj.weaver.patterns.AnnotationPointcut,5,50,18,4
org.aspectj.ajdt.internal.core.builder.AsmElementFormatter,2,127,28,81
org.aspectj.ajdt.internal.core.builder.AsmHierarchyBuilder,2,389,88,245
org.aspectj.weaver.AsmRelationshipProvider,9,209,40,169
org.aspectj.ajde.ui.NullIdeStructureViewRenderer,0,6,1,2
org.aspectj.weaver.patterns.DeclarePrecedence,5,84,33,48
org.aspectj.ajdt.internal.compiler.ast.IfMethodDeclaration,2,5,0,5
org.aspectj.tools.ajdoc.JavadocRunner,0,34,4,21
org.aspectj.ajdt.internal.core.builder.StatefulNameEnvironment,1,36,11,8
org.aspectj.ajdt.internal.compiler.ast.PointcutDesignator,1,32,5,10
org.aspectj.weaver.reflect.ReflectionVar,0,46,30,13
org.aspectj.weaver.ShadowMunger,5,103,39,52
org.aspectj.weaver.patterns.ConcreteCflowPointcut,5,41,5,16
org.aspectj.org.eclipse.jdt.core.dom.DeclareParentsDeclaration,2,38,11,15
org.aspectj.asm.internal.AspectJElementHierarchy,6,165,29,114
org.aspectj.weaver.SourceContextImpl,0,27,6,13
org.aspectj.tools.ant.taskdefs.Ajc11CompilerAdapter,1,27,0,21
org.aspectj.weaver.patterns.PerFromSuper,3,35,4,4
org.aspectj.ajdt.internal.core.builder.AjBuildConfig,2,121,57,42
org.aspectj.tools.ajc.DelegatingOutputStream,0,11,3,0
org.aspectj.internal.tools.build.Result,0,134,22,56
org.aspectj.org.eclipse.jdt.core.dom.AjTypeDeclaration,2,33,4,13
org.aspectj.ajdt.internal.compiler.lookup.InterTypeFieldBinding,2,32,0,22
org.aspectj.weaver.AsmRelationshipUtils,1,15,6,9
org.aspectj.internal.tools.build.Util,0,163,72,41
org.aspectj.tools.ajdoc.StubFileGenerator,8,105,0,94
org.aspectj.ajdt.internal.compiler.WeaverAdapter,2,107,50,48
org.aspectj.asm.internal.RelationshipMap,0,30,3,11
org.aspectj.lang.reflect.AjTypeSystem,0,2,1,1
org.aspectj.weaver.Shadow,8,490,164,61
org.aspectj.ajdt.internal.compiler.ast.InterTypeDeclaration,2,183,37,28
org.aspectj.tools.ant.taskdefs.Ajdoc,1,160,28,34
org.aspectj.org.eclipse.jdt.core.dom.DeclarePrecedenceDeclaration,2,29,4,11
org.aspectj.tools.ajdoc.Main,9,448,55,292
org.aspectj.weaver.patterns.Pointcut,8,42,15,9
org.aspectj.bridge.ReflectionFactory,0,32,6,7
org.aspectj.weaver.bcel.BcelTypeMunger,21,974,279,317
org.aspectj.ajdt.internal.compiler.ast.DeclareDeclaration,2,37,17,13
org.aspectj.ajdt.internal.compiler.ast.InterTypeFieldDeclaration,2,145,49,81
org.aspectj.org.eclipse.jdt.core.dom.SignaturePattern,2,4,2,2
org.aspectj.bridge.AbortException,0,37,0,11
org.aspectj.weaver.Dump,1,141,39,83
org.aspectj.weaver.AjAttribute,5,18,15,1
org.aspectj.internal.tools.build.BuildSpec,0,18,1,1
org.aspectj.org.eclipse.jdt.core.dom.DeclareSoftDeclaration,2,32,9,11
org.aspectj.ajdt.internal.compiler.ast.AjConstructorDeclaration,2,12,8,4
org.aspectj.weaver.patterns.AndTypePattern,3,99,29,39
org.aspectj.weaver.PrivilegedAccessMunger,0,62,6,56
org.aspectj.weaver.bcel.LazyMethodGen,21,426,167,101
org.aspectj.tools.ant.taskdefs.AjcTask,1,889,60,570
org.aspectj.weaver.TypeFactory,7,201,118,61
org.aspectj.weaver.ResolvedType,12,857,187,347
org.aspectj.weaver.patterns.PatternParser,10,551,334,140
org.aspectj.runtime.reflect.CodeSignatureImpl,0,12,2,6
org.aspectj.ajdt.internal.core.builder.EclipseAdapterUtils,2,201,82,98
org.aspectj.ajdt.internal.compiler.WeaverMessageHandler,2,147,40,86
org.aspectj.org.eclipse.jdt.core.dom.AjASTVisitor,2,96,2,19
org.aspectj.ajdt.ajc.BuildArgParser,2,77,49,25
org.aspectj.org.eclipse.jdt.core.dom.InterTypeFieldDeclaration,2,14,5,1
org.aspectj.runtime.reflect.SignatureImpl,5,109,10,10
org.aspectj.weaver.Advice,10,256,80,71
org.aspectj.weaver.UnresolvedTypeVariableReferenceType,0,12,1,3
org.aspectj.weaver.BoundedReferenceType,3,110,21,26
org.aspectj.ajdt.internal.compiler.lookup.AjLookupEnvironment,2,823,186,218
org.aspectj.internal.lang.reflect.StringToType,0,32,4,3
org.aspectj.weaver.JoinPointSignatureIterator,0,109,56,36
org.aspectj.asm.AsmManager,6,314,3,14
org.aspectj.bridge.Version,1,26,2,9
